-0.031,1.003,0.156,10.925,-5.737,-1.160
-0.008,0.956,0.157,10.315,-3.357,-2.930
0.007,0.942,0.154,5.310,1.465,-1.648
0.020,0.958,0.145,2.808,6.836,-0.427
0.060,1.022,0.184,1.343,11.292,-0.549
0.087,0.924,0.156,6.409,13.123,-0.427
0.141,0.904,0.152,3.235,8.911,-2.075
0.135,0.929,0.144,7.812,4.150,-3.479
0.115,0.984,0.100,18.738,-1.282,-4.333
0.100,0.904,0.005,33.691,-8.728,1.465
0.053,1.016,0.189,44.128,-9.827,14.343
0.053,1.077,0.240,54.016,-8.301,19.348
0.104,1.142,0.244,65.674,-8.362,10.254
0.066,1.183,0.191,73.669,-7.690,1.404
0.016,0.973,0.141,97.839,-14.343,-5.859
-0.062,0.526,0.146,113.770,-0.671,-7.141
-0.031,-0.056,0.105,132.996,17.395,-0.610
-0.002,0.002,-0.047,117.188,18.311,-1.404
0.001,0.002,-0.034,115.906,17.151,-2.441
0.006,-0.009,-0.003,114.441,15.198,-2.930
0.028,-0.040,0.091,111.450,13.184,-3.723
-0.536,0.181,4.000,-128.967,20.813,22.278
0.368,0.127,-0.028,-1.160,89.722,-12.024
0.076,-0.006,0.343,2.441,65.613,1.465
-0.003,-0.016,-0.117,3.784,51.208,-2.319
0.032,-0.045,0.086,1.465,48.828,-1.770
0.307,-0.114,0.697,-13.733,52.185,9.644
2.389,1.424,2.503,-26.367,35.767,-7.202
0.343,0.183,0.405,16.113,6.714,-7.874
0.178,-0.108,0.219,21.423,-4.089,-7.019
0.507,-0.175,0.790,8.850,-7.996,0.000
0.805,0.225,1.261,-11.902,-13.672,8.911
0.344,0.169,0.670,-4.395,-10.376,11.414
0.341,0.231,0.746,-1.282,-9.583,4.944
0.463,0.284,1.007,6.775,-3.601,0.916
0.342,0.110,0.832,6.836,3.113,-1.160
0.428,0.125,0.826,2.991,9.644,0.122
0.537,0.195,0.866,2.563,7.324,-0.061
0.489,0.135,0.781,4.333,1.953,0.671
0.493,0.145,0.863,2.686,-1.465,1.892
--- Inicio de captura ---
0.144,0.973,0.085,4.761,1.343,4.944
0.137,0.974,0.072,7.080,0.549,5.920
0.106,0.967,0.064,8.545,0.732,5.981
0.091,0.943,0.065,10.315,1.221,5.859
0.092,0.955,0.088,10.681,1.587,7.324
0.099,0.995,0.098,12.817,1.953,8.972
0.085,0.966,0.114,18.616,0.854,6.287
0.077,0.904,0.114,23.254,-1.099,7.324
0.071,0.892,0.137,28.564,-1.465,5.127
0.080,0.932,0.131,33.569,-6.470,4.639
0.063,0.924,0.099,42.480,-8.667,4.700
0.038,1.046,0.221,55.908,-8.667,9.766
0.025,0.970,0.304,60.242,-3.845,9.399
-0.004,0.983,0.305,58.838,-4.272,9.766
0.037,0.821,0.336,57.739,-0.977,8.606
0.038,0.776,0.506,53.284,-2.197,7.690
0.057,0.778,0.439,56.030,-5.432,12.573
0.037,0.791,0.494,58.167,-6.165,14.771
0.002,0.787,0.578,57.922,-5.737,14.954
-0.011,0.765,0.665,52.795,-6.714,9.338
-0.112,0.688,0.751,45.654,-1.282,-0.427
-0.058,0.559,0.630,44.189,1.709,-2.930
0.093,0.501,0.605,52.002,-18.677,3.845
-0.046,0.283,0.231,64.026,-47.852,14.832
0.001,-0.002,-0.054,67.566,-52.795,14.343
-0.010,-0.015,0.003,60.974,-48.279,15.869
-0.015,-0.021,0.031,59.753,-46.936,17.151
-0.021,-0.030,0.069,58.716,-44.739,18.250
0.334,0.213,1.695,108.032,-5.493,25.513
-0.258,-0.875,0.788,179.626,68.909,65.979
0.487,-2.146,0.746,264.954,88.379,55.786
0.012,-0.017,-0.957,103.882,67.871,51.453
0.046,0.034,-0.138,132.385,44.067,46.997
0.065,-0.965,0.079,172.485,36.499,41.931
0.293,-1.028,0.068,-181.763,33.325,40.100
0.058,-0.307,0.554,-78.125,1.343,21.179
0.142,-0.752,0.944,-55.359,20.569,23.437
0.123,-0.529,1.077,-70.862,15.625,23.987
0.150,-0.226,0.875,-89.355,-0.671,24.414
0.123,-0.125,0.813,-95.337,8.850,20.203
--- Inicio de captura ---
0.034,1.008,0.204,4.578,5.920,2.930
0.030,0.958,0.176,3.723,5.066,1.892
0.054,0.954,0.092,4.761,5.676,0.244
0.071,0.941,0.127,5.859,3.235,-1.770
0.048,0.954,0.127,1.587,3.113,-2.136
0.020,0.946,0.161,-8.057,1.953,-2.258
0.032,0.939,0.172,-8.301,2.930,-0.549
0.060,0.946,0.179,-8.057,2.625,1.221
0.071,0.929,0.146,-1.953,1.038,1.282
0.073,0.962,0.123,7.874,-1.892,-0.610
0.078,0.968,0.109,10.559,-5.798,-3.967
0.102,1.021,0.063,25.330,-11.658,-6.348
0.084,1.085,0.066,42.236,-14.587,-7.690
0.134,0.986,0.100,60.791,-13.550,-5.615
0.084,0.859,0.079,76.050,-7.996,-5.554
-0.002,0.841,0.229,66.284,-3.235,1.770
0.110,0.861,0.249,73.486,-1.282,9.460
0.111,0.892,0.451,84.717,-5.188,7.629
0.102,0.704,0.377,99.487,-7.141,10.498
-0.068,0.321,0.225,109.985,-4.700,9.766
0.019,0.026,0.016,109.375,-3.479,7.385
0.004,0.000,-0.027,105.774,-4.211,7.202
0.007,-0.003,-0.004,105.042,-5.188,7.324
0.016,-0.016,0.023,103.699,-6.226,7.446
0.026,-0.017,0.067,102.295,-7.629,8.057
0.073,-0.067,0.177,99.365,-8.728,8.911
0.757,-4.000,4.000,-123.535,156.616,5.859
-0.246,-0.349,1.443,73.364,-38.513,-33.875
0.011,2.188,-0.245,-104.370,96.558,-12.329
0.013,0.014,0.254,-14.099,59.021,0.183
-0.007,-0.002,0.091,-12.024,58.411,-2.502
0.013,-0.026,0.016,-14.160,61.157,-1.892
