ax,ay,az,gx,gy,gz
0.052,1.218,0.014,-21.790,24.353,-4.211
-0.080,0.892,-0.024,27.893,26.306,0.977
0.062,0.847,-0.074,11.230,27.710,0.427
0.103,0.977,-0.077,3.540,23.682,9.033
0.057,0.935,-0.104,13.245,21.362,12.695
0.047,0.918,-0.098,14.343,25.696,5.798
0.050,0.859,-0.134,3.296,31.250,11.963
0.072,1.073,-0.098,-42.908,13.062,-1.221
-0.008,1.212,0.141,10.559,19.104,-34.973
0.155,0.969,0.012,27.588,32.837,-13.550
0.080,1.072,0.203,15.259,8.301,-10.010
-0.128,0.875,-0.005,17.151,24.109,8.362
-0.088,0.849,0.050,7.568,20.081,-9.033
0.025,1.186,0.069,7.507,33.813,3.296
0.020,0.911,-0.002,19.165,28.259,18.555
0.068,0.943,0.016,0.366,15.015,10.986
0.059,1.026,0.009,10.681,17.090,1.343
0.042,0.949,-0.066,21.423,21.362,-2.014
0.094,0.894,-0.046,14.648,9.888,-3.723
0.105,0.955,-0.019,16.235,9.705,-6.653
0.141,0.962,-0.033,21.118,14.709,-10.315
0.118,0.861,0.078,10.864,25.085,-3.235
-0.019,1.074,0.098,-16.235,0.793,36.865
-0.135,0.947,0.176,-36.133,-9.216,2.991
-0.086,1.122,0.132,-24.414,5.981,9.521
0.104,0.814,0.006,-6.470,8.789,13.977
0.182,0.982,0.047,-43.030,-15.320,8.240
-0.016,1.214,-0.051,-19.897,-9.277,5.432
0.047,0.918,0.000,19.714,-3.540,0.793
0.092,0.937,-0.096,18.433,-6.653,-3.784
0.074,0.983,-0.127,10.071,-15.625,8.423
0.016,0.865,-0.155,12.878,-16.907,16.602
-0.008,0.888,-0.157,4.395,-9.033,13.428
0.037,0.900,-0.208,-23.560,-10.864,12.634
-0.099,1.257,0.150,-8.362,-26.672,-38.391
0.182,0.932,0.097,24.536,-1.099,-10.193
-0.014,1.178,0.124,14.221,-32.532,-25.391
-0.177,0.954,-0.098,36.194,-5.249,2.563
-0.145,0.789,-0.010,-6.836,4.089,5.859
-0.058,1.164,0.108,-13.428,8.972,8.118
0.012,0.964,-0.039,25.085,2.869,11.353
-0.062,0.952,-0.019,7.507,1.465,7.874
-0.030,1.010,-0.044,14.771,9.338,0.427
0.021,0.937,-0.067,21.179,11.353,-4.517
0.072,0.899,0.008,14.099,6.592,-8.484
0.114,0.947,0.000,12.817,-3.235,-7.935
0.114,0.900,-0.032,15.381,-2.686,-17.090
0.194,0.974,0.186,-20.142,-9.949,-2.991
-0.264,1.096,-0.001,-5.493,-33.875,20.020
-0.234,0.854,0.172,-40.649,-16.968,4.822
-0.149,1.005,0.027,-29.419,10.803,26.367
0.140,0.994,-0.006,-40.955,-8.179,19.531
0.073,1.187,0.008,-26.184,1.526,1.831
0.023,1.035,-0.071,21.179,8.667,3.540
-0.022,0.901,-0.100,31.738,1.099,-4.395
0.047,0.878,-0.166,20.142,6.470,5.554
-0.025,0.858,-0.142,2.075,11.169,16.174
-0.096,1.003,-0.198,10.437,21.912,18.005
-0.146,1.163,-0.040,-20.508,0.061,-15.381
0.084,0.927,0.187,18.433,10.132,-25.757
0.076,0.871,0.113,4.333,25.940,-15.503
-0.217,1.262,0.163,10.559,-6.287,-29.053
-0.328,0.787,-0.179,18.555,37.842,15.930
-0.046,1.098,0.010,-32.898,47.729,18.250
0.036,1.063,0.076,19.287,47.424,9.949
-0.059,0.852,-0.109,19.775,40.527,-4.150
-0.150,0.997,-0.022,1.282,52.673,-5.859
-0.180,0.977,-0.068,8.179,64.636,1.770
-0.209,0.980,-0.059,8.972,80.078,1.648
-0.137,0.966,-0.135,9.827,93.140,-1.526
0.025,0.925,-0.038,5.127,93.994,-3.906
0.158,0.952,0.068,-8.789,69.641,3.540
0.080,0.946,0.075,-1.160,37.354,16.602
0.003,1.107,0.037,8.179,45.044,32.166
0.151,0.993,-0.139,6.714,46.997,10.498
0.164,1.168,0.045,-22.278,36.316,-3.052
0.130,1.136,-0.001,18.433,57.312,1.892
0.177,0.876,-0.040,37.720,20.813,1.099
0.069,0.746,-0.017,24.597,19.226,16.418
-0.003,0.867,0.108,-5.554,12.329,20.996
0.029,0.976,0.125,26.306,0.366,23.926
-0.040,0.951,0.149,67.383,7.080,30.518
-0.187,1.008,0.094,42.664,10.620,11.047
0.035,0.756,0.051,33.325,22.949,16.602
-0.058,0.949,0.125,24.414,20.203,11.963
-0.132,0.761,0.084,16.479,1.953,3.174
-0.123,0.768,0.110,-5.859,-5.859,7.751
-0.082,0.731,0.119,-16.418,2.625,-1.099
-0.265,0.903,0.107,-27.649,4.150,-5.981
-0.178,0.919,0.149,-31.128,10.315,-2.014
-0.146,0.980,0.139,-32.776,8.545,4.700
-0.119,1.014,0.092,-33.264,6.653,-7.385
-0.186,1.047,0.047,-41.077,7.874,-6.531
-0.118,1.006,0.015,-39.368,10.559,-6.592
-0.100,1.153,-0.035,-39.307,6.348,-11.108
-0.005,0.915,-0.111,-42.786,6.775,-15.015
-0.031,0.909,-0.132,-35.522,-3.479,-12.878
-0.013,1.039,-0.281,-33.508,-1.770,-10.498
-0.019,1.189,-0.297,-20.386,0.000,-5.249
-0.000,1.093,-0.380,-20.447,7.019,-1.282
-0.014,0.988,-0.362,-15.808,5.676,0.366
-0.040,0.923,-0.370,-15.320,4.944,0.854
-0.060,0.922,-0.392,-17.029,2.197,2.625
-0.073,0.936,-0.418,-20.996,4.211,2.502
-0.064,0.946,-0.429,-19.592,3.357,0.061
-0.053,0.923,-0.440,-17.822,2.258,-2.319
-0.035,0.922,-0.463,-13.550,-1.160,-2.869
-0.033,0.913,-0.498,-8.972,-0.977,-4.028
-0.025,0.881,-0.497,-0.793,2.319,-6.836
-0.020,0.898,-0.459,3.296,3.418,-5.310
-0.011,0.872,-0.474,0.000,4.395,-3.601
0.011,0.894,-0.484,0.488,4.333,-3.418
-0.004,0.865,-0.443,5.615,1.587,-4.578
-0.004,0.867,-0.466,2.136,4.028,-2.380
-0.014,0.878,-0.473,-1.709,4.395,-1.404
-0.008,0.883,-0.485,-1.831,4.395,-0.854
-0.010,0.860,-0.504,0.305,7.141,-2.258
0.002,0.859,-0.526,-2.319,8.179,-4.578
0.006,0.861,-0.505,4.395,8.057,-5.920
0.004,0.866,-0.479,0.916,7.507,-5.249
0.012,0.651,-0.542,2.197,4.517,0.061
0.007,0.835,-0.455,1.465,1.038,2.441
0.011,0.873,-0.441,-1.648,3.174,1.648
0.014,0.843,-0.475,-5.920,0.916,0.916
0.008,0.864,-0.534,-10.559,-1.221,3.113
0.006,0.853,-0.549,-1.343,-3.540,3.174
0.003,0.842,-0.543,1.587,-1.282,2.258
0.005,0.843,-0.528,5.127,1.648,1.709
0.003,0.843,-0.507,2.258,2.747,2.075
0.001,0.852,-0.524,-0.061,1.831,1.648
0.000,0.846,-0.536,0.488,1.465,1.099
0.000,0.841,-0.537,3.052,1.770,0.793
0.004,0.841,-0.535,4.211,1.465,0.488
0.007,0.843,-0.528,4.700,0.671,0.549
0.007,0.841,-0.525,2.991,0.610,0.854
0.006,0.844,-0.530,2.930,1.221,1.038
0.005,0.844,-0.529,3.296,1.404,1.099
0.003,0.845,-0.528,3.357,1.465,1.404
0.002,0.844,-0.526,2.991,1.770,1.465
0.003,0.844,-0.528,2.563,1.831,1.404
0.005,0.844,-0.532,2.319,1.587,1.343
0.004,0.845,-0.532,2.686,1.221,1.160
0.005,0.843,-0.531,3.479,1.099,1.038
0.006,0.844,-0.530,2.808,1.404,1.099
0.004,0.844,-0.531,2.625,1.404,1.160
0.003,0.845,-0.534,2.747,1.526,1.221
0.004,0.842,-0.529,3.479,1.221,1.038
0.003,0.844,-0.531,2.808,1.404,1.221
0.005,0.842,-0.532,2.869,1.282,1.099
0.006,0.842,-0.532,2.991,1.282,1.038
0.004,0.841,-0.532,2.991,1.404,1.099
0.004,0.843,-0.533,3.174,1.648,1.160
0.008,0.844,-0.532,2.441,1.526,1.343
0.003,0.844,-0.533,4.272,0.793,0.671
0.002,0.839,-0.529,3.540,1.648,1.160
0.005,0.846,-0.531,2.686,1.587,1.343
0.010,0.844,-0.532,2.441,1.282,1.221
0.006,0.845,-0.535,2.991,1.160,1.221
0.004,0.839,-0.530,3.296,1.221,1.343
0.002,0.847,-0.535,3.357,1.526,1.282
0.004,0.842,-0.530,3.662,1.221,0.793
0.005,0.839,-0.528,3.113,1.770,1.221
0.003,0.847,-0.531,2.258,2.014,1.648
0.006,0.841,-0.531,3.174,1.343,1.221
0.004,0.841,-0.533,3.601,1.221,1.282
0.001,0.848,-0.531,1.831,1.343,1.404
-0.000,0.840,-0.529,1.770,1.648,1.587
0.001,0.836,-0.536,1.099,1.831,1.404
0.006,0.842,-0.545,1.953,2.441,1.648
0.006,0.842,-0.546,1.831,1.770,1.282
0.003,0.828,-0.530,2.808,1.526,1.404
0.001,0.844,-0.539,1.770,2.014,1.953
0.001,0.834,-0.537,1.160,2.014,2.014
-0.004,0.837,-0.542,1.892,2.319,1.953
-0.004,0.836,-0.546,1.282,2.136,1.404
-0.001,0.831,-0.548,1.648,1.953,1.404
0.001,0.833,-0.558,2.319,1.343,1.221
0.000,0.841,-0.554,3.296,1.282,1.282
-0.000,0.830,-0.541,2.136,0.244,1.038
-0.006,0.833,-0.556,3.540,0.244,0.793
0.000,0.838,-0.552,4.639,1.099,0.732
0.001,0.839,-0.547,5.615,0.793,-0.183
0.001,0.833,-0.541,6.775,0.916,-0.244
0.005,0.837,-0.532,5.310,1.587,0.366
0.005,0.840,-0.536,4.700,0.488,0.732
0.006,0.836,-0.536,3.662,0.488,1.099
0.005,0.841,-0.539,3.967,1.160,1.343
0.002,0.838,-0.532,4.272,1.343,1.221
0.001,0.844,-0.534,3.906,1.465,1.160
0.001,0.838,-0.530,3.052,1.709,1.282
0.002,0.843,-0.536,2.686,1.831,1.099
0.005,0.841,-0.534,2.869,1.648,1.221
0.005,0.840,-0.532,3.052,1.282,1.099
0.005,0.844,-0.534,3.296,1.038,0.977
0.003,0.837,-0.530,3.113,1.160,1.282
0.005,0.839,-0.534,2.808,1.343,1.465
0.006,0.843,-0.536,2.747,1.709,1.587
0.002,0.839,-0.531,3.723,1.648,1.343
0.001,0.839,-0.532,2.747,1.587,1.404
0.002,0.841,-0.536,2.808,1.404,1.221
0.002,0.842,-0.538,3.113,1.465,0.977
0.004,0.840,-0.535,3.052,1.160,0.854
0.005,0.841,-0.534,3.601,0.916,0.732
0.005,0.840,-0.533,3.418,0.977,0.916
0.005,0.837,-0.531,2.930,1.221,1.221
0.006,0.840,-0.535,2.869,1.404,1.404
0.005,0.839,-0.536,2.625,1.526,1.465
0.004,0.840,-0.536,3.174,1.770,1.465
0.002,0.841,-0.536,3.296,1.526,1.221
0.002,0.839,-0.534,3.235,1.465,1.160
0.003,0.840,-0.533,3.113,1.221,1.099
0.004,0.840,-0.532,2.808,1.282,1.099
0.004,0.841,-0.536,2.625,1.526,1.221
0.004,0.840,-0.538,2.991,1.282,1.282
0.004,0.840,-0.536,3.479,1.343,1.343
0.003,0.840,-0.535,3.601,1.465,1.282
0.004,0.841,-0.534,3.174,1.404,1.282
0.004,0.840,-0.535,2.991,1.587,1.343
0.002,0.841,-0.535,3.113,1.282,1.038
0.002,0.840,-0.535,3.113,1.465,1.221
0.004,0.841,-0.536,3.174,1.526,1.160
0.003,0.841,-0.534,2.869,1.587,1.404
0.003,0.841,-0.535,3.113,1.526,1.343
0.003,0.841,-0.534,3.113,1.465,1.282
0.004,0.841,-0.535,3.174,1.465,1.221
0.003,0.840,-0.535,3.296,1.465,1.221
0.003,0.840,-0.534,3.296,1.404,1.221
0.003,0.842,-0.536,3.052,1.404,1.160
0.004,0.841,-0.536,3.174,1.343,1.160
0.004,0.841,-0.537,3.174,1.282,1.160
0.004,0.840,-0.534,3.174,1.343,1.282
0.003,0.841,-0.534,3.052,1.343,1.343
0.003,0.840,-0.535,3.418,1.465,1.282
0.004,0.839,-0.534,3.235,1.404,1.282
0.004,0.840,-0.535,3.784,1.343,1.160
0.004,0.839,-0.533,3.418,1.648,1.160
0.003,0.842,-0.536,2.991,1.953,1.343
0.002,0.840,-0.534,3.235,1.282,1.404
0.002,0.841,-0.534,3.235,1.709,1.343
-0.000,0.844,-0.542,3.906,2.563,0.977
0.003,0.840,-0.533,3.174,3.235,1.038
0.006,0.842,-0.552,3.906,3.662,0.366
-0.001,0.836,-0.534,2.502,2.808,0.732
0.001,0.847,-0.538,1.221,6.470,0.793
-0.006,0.787,-0.544,6.165,5.249,0.793
-0.007,0.782,-0.553,5.920,6.409,-3.540
0.003,0.873,-0.553,-1.709,6.653,-2.441
-0.005,0.778,-0.592,-1.953,4.944,4.028
-0.001,0.797,-0.530,-13.550,2.380,4.883
0.027,0.679,-0.584,-16.235,-1.404,9.827
-0.025,0.825,-0.534,-9.277,0.671,4.578
-0.040,0.909,-0.496,-5.005,3.296,0.366
0.005,0.797,-0.516,-25.757,10.254,-1.526
0.010,0.678,-0.713,-22.888,-12.329,-0.671
-0.030,0.678,-0.705,-14.221,-7.019,6.958
-0.026,0.539,-0.718,24.353,0.183,4.211
-0.001,0.679,-0.711,-9.277,-3.662,4.028
-0.012,0.782,-0.699,-10.376,2.808,2.563
-0.015,0.757,-0.697,-3.357,2.319,1.404
-0.008,0.713,-0.707,-5.432,2.136,2.258
0.011,0.679,-0.713,3.845,2.319,0.427
-0.000,0.722,-0.715,4.517,1.526,1.221
-0.004,0.772,-0.689,12.085,1.343,1.465
-0.014,0.691,-0.702,12.573,0.549,1.343
-0.003,0.717,-0.698,1.526,1.892,2.808
-0.014,0.730,-0.675,-6.165,2.563,1.770
-0.030,0.700,-0.708,2.625,0.183,3.784
-0.010,0.725,-0.710,-4.578,2.686,3.052
-0.014,0.718,-0.723,3.418,2.502,0.427
-0.019,0.723,-0.706,12.939,1.160,-0.488
-0.018,0.741,-0.696,23.254,0.488,-2.502
-0.013,0.717,-0.645,32.349,3.662,-5.005
0.024,0.786,-0.632,19.409,2.808,-2.380
0.014,0.776,-0.623,4.944,1.221,1.099
-0.014,0.770,-0.635,-4.089,2.991,4.456
-0.017,0.758,-0.650,-3.662,1.343,2.991
-0.021,0.758,-0.661,1.343,2.625,1.465
-0.013,0.764,-0.656,6.287,1.221,-0.183
-0.004,0.769,-0.643,9.521,0.916,-1.343
-0.003,0.766,-0.630,5.127,0.793,0.183
-0.007,0.771,-0.636,2.808,1.221,0.732
-0.010,0.770,-0.639,2.014,1.709,1.160
-0.007,0.770,-0.640,2.258,1.404,1.038
-0.007,0.768,-0.644,2.136,1.648,1.099
-0.007,0.766,-0.642,4.028,1.221,0.793
-0.008,0.771,-0.641,3.723,1.526,0.671
-0.008,0.769,-0.639,3.235,1.709,0.916
-0.008,0.766,-0.639,2.686,1.648,0.916
-0.009,0.770,-0.640,2.930,1.465,0.732
-0.007,0.768,-0.639,2.808,1.526,1.038
-0.006,0.767,-0.641,2.991,1.465,0.977
-0.007,0.766,-0.641,3.296,1.526,0.977
-0.010,0.769,-0.640,3.113,1.587,1.099
-0.008,0.768,-0.640,3.174,1.587,0.854
-0.008,0.767,-0.640,2.930,1.343,0.916
-0.008,0.768,-0.640,2.625,1.465,0.977
-0.008,0.767,-0.642,3.174,1.648,0.854
-0.008,0.767,-0.641,2.991,1.343,0.854
-0.008,0.767,-0.640,3.052,1.465,0.977
-0.009,0.767,-0.641,2.808,1.587,0.916
-0.009,0.767,-0.642,3.235,1.404,0.916
-0.010,0.765,-0.642,2.686,1.465,0.793
-0.008,0.766,-0.643,2.686,1.526,0.854
-0.009,0.768,-0.644,3.174,1.465,0.732
-0.009,0.766,-0.641,3.052,1.587,0.916
-0.010,0.767,-0.642,2.930,1.465,0.916
-0.010,0.766,-0.641,2.869,1.404,0.854
-0.009,0.766,-0.643,2.930,1.343,0.671
-0.009,0.766,-0.642,3.174,1.221,0.732
-0.010,0.766,-0.643,3.052,1.282,0.854
-0.009,0.766,-0.641,3.296,1.404,0.793
-0.009,0.767,-0.642,3.357,1.343,0.916
-0.009,0.768,-0.641,3.174,1.648,0.732
-0.011,0.768,-0.641,3.052,1.404,0.793
-0.009,0.768,-0.643,3.052,1.404,0.793
-0.009,0.767,-0.644,3.479,1.343,0.671
-0.009,0.766,-0.641,3.540,1.587,0.793
-0.010,0.769,-0.640,3.418,1.465,0.793
-0.009,0.767,-0.641,3.235,1.404,0.732
-0.010,0.765,-0.640,2.991,1.221,0.732
-0.010,0.767,-0.641,3.174,1.465,0.916
-0.009,0.768,-0.641,3.235,1.404,0.854
-0.008,0.767,-0.640,3.296,1.587,0.732
-0.010,0.767,-0.641,3.235,1.526,0.916
-0.009,0.767,-0.641,3.113,1.465,0.671
-0.009,0.767,-0.639,3.296,1.282,0.732
-0.009,0.767,-0.640,3.296,1.587,0.610
-0.007,0.768,-0.641,2.930,1.465,0.793
-0.010,0.766,-0.640,3.540,1.343,0.854
-0.009,0.769,-0.641,3.174,1.587,0.854
-0.010,0.767,-0.640,3.052,1.526,0.793
-0.011,0.769,-0.642,2.747,1.648,0.854
-0.011,0.769,-0.641,3.662,1.404,0.610
-0.007,0.762,-0.634,2.991,1.587,0.549
-0.012,0.776,-0.645,3.906,1.770,1.099
-0.008,0.763,-0.638,2.808,0.793,0.427
-0.008,0.766,-0.639,3.479,1.648,0.977
-0.011,0.768,-0.639,3.723,1.648,0.732
-0.009,0.771,-0.636,2.930,1.648,0.854
-0.012,0.768,-0.639,2.625,1.709,0.916
-0.009,0.766,-0.641,2.625,1.221,0.793
-0.010,0.765,-0.642,3.235,1.404,0.671
-0.010,0.770,-0.639,4.395,1.465,0.549
-0.009,0.770,-0.637,3.723,1.343,0.793
-0.010,0.767,-0.638,2.380,1.160,0.732
-0.009,0.768,-0.642,2.258,1.465,1.038
-0.010,0.768,-0.641,3.357,1.343,0.916
-0.010,0.767,-0.638,3.418,1.465,0.732
-0.009,0.770,-0.639,3.174,1.343,0.793
-0.009,0.768,-0.638,3.113,1.465,0.732
-0.010,0.769,-0.639,2.991,1.404,0.732
-0.010,0.769,-0.640,3.052,1.404,0.916
-0.008,0.770,-0.640,3.113,1.282,0.793
-0.010,0.769,-0.641,2.991,1.221,0.732
-0.008,0.769,-0.640,3.540,1.221,0.732
-0.009,0.768,-0.639,3.113,1.221,0.793
-0.010,0.770,-0.638,3.235,1.587,0.671
-0.010,0.769,-0.639,2.869,1.343,0.732
-0.007,0.768,-0.640,2.930,1.465,0.793
-0.009,0.770,-0.640,3.357,1.404,0.854
-0.009,0.768,-0.639,3.296,1.465,0.854
-0.009,0.769,-0.638,3.113,1.526,0.793
-0.010,0.768,-0.639,2.808,1.526,0.854
-0.011,0.769,-0.641,2.808,1.526,0.793
-0.009,0.771,-0.640,3.052,1.465,0.793
-0.010,0.766,-0.641,2.808,1.526,0.732
-0.010,0.770,-0.640,3.235,1.465,0.793
-0.010,0.770,-0.641,3.174,1.404,0.793
-0.009,0.768,-0.640,3.235,1.526,0.854
-0.010,0.767,-0.639,2.930,1.587,0.854
-0.010,0.767,-0.640,2.869,1.587,0.854
-0.010,0.767,-0.641,2.991,1.587,0.977
-0.010,0.767,-0.641,3.174,1.343,0.916
-0.010,0.768,-0.639,3.235,1.404,0.916
-0.009,0.767,-0.640,2.991,1.526,0.854
-0.010,0.767,-0.640,2.930,1.404,0.793
-0.009,0.768,-0.641,2.991,1.404,0.977
-0.011,0.766,-0.641,2.991,1.343,1.038
-0.010,0.767,-0.641,3.357,1.404,0.854
-0.010,0.767,-0.641,3.113,1.526,0.977
-0.011,0.770,-0.642,2.991,1.404,0.671
-0.010,0.766,-0.640,3.174,1.526,1.038
-0.010,0.766,-0.640,3.418,1.282,0.854
-0.012,0.767,-0.641,3.052,1.526,0.854
-0.010,0.768,-0.642,3.174,1.282,0.916
-0.010,0.766,-0.641,3.235,1.465,0.854
-0.010,0.767,-0.640,3.235,1.343,0.854
-0.011,0.767,-0.641,3.235,1.343,0.732
-0.009,0.767,-0.641,3.235,1.465,0.854
-0.010,0.767,-0.641,3.113,1.465,0.793
-0.011,0.768,-0.642,3.174,1.526,0.854
-0.010,0.768,-0.642,3.235,1.282,0.732
-0.011,0.766,-0.641,3.235,1.465,0.854
-0.010,0.768,-0.641,3.296,1.465,0.793
-0.009,0.768,-0.641,3.418,1.404,0.793
-0.011,0.766,-0.640,3.418,1.587,0.793
-0.010,0.768,-0.640,2.930,1.465,0.793
-0.010,0.767,-0.640,3.296,1.587,0.671
-0.009,0.767,-0.641,3.113,1.465,0.793
-0.010,0.768,-0.640,3.418,1.404,0.916
-0.010,0.767,-0.639,3.174,1.526,0.793
-0.010,0.767,-0.640,3.113,1.282,0.671
-0.011,0.766,-0.638,3.296,1.526,0.793
-0.011,0.769,-0.640,3.113,1.343,0.916
-0.010,0.769,-0.640,3.296,1.404,0.854
-0.010,0.769,-0.639,3.418,1.343,0.854
-0.010,0.769,-0.640,3.052,1.404,0.732
-0.010,0.768,-0.640,3.113,1.404,0.793
-0.010,0.766,-0.640,3.235,1.343,0.977
-0.010,0.768,-0.640,3.296,1.465,0.793
-0.011,0.769,-0.640,3.479,1.343,0.732
-0.010,0.769,-0.639,3.174,1.526,0.793
-0.010,0.768,-0.639,3.113,1.526,0.977
-0.011,0.768,-0.639,3.235,1.343,0.671
-0.010,0.768,-0.640,3.113,1.404,0.732
-0.011,0.767,-0.640,3.235,1.526,0.854
-0.011,0.767,-0.639,3.052,1.526,0.610
-0.011,0.768,-0.640,3.174,1.343,0.977
-0.010,0.768,-0.641,3.113,1.526,0.732
-0.011,0.766,-0.639,3.113,1.465,0.977
-0.009,0.769,-0.639,2.991,1.465,0.854
-0.010,0.767,-0.639,3.235,1.404,0.793
-0.010,0.768,-0.639,3.296,1.526,0.793
-0.010,0.767,-0.639,2.991,1.343,0.732
-0.010,0.768,-0.640,2.991,1.282,0.854
-0.009,0.767,-0.640,3.174,1.404,0.854
-0.010,0.767,-0.638,3.174,1.465,0.671
-0.010,0.768,-0.640,2.991,1.526,0.977
-0.009,0.768,-0.639,3.174,1.465,0.854
-0.010,0.768,-0.638,3.235,1.465,0.854
-0.011,0.768,-0.639,3.113,1.343,0.916
-0.009,0.768,-0.640,3.113,1.648,0.854
-0.010,0.768,-0.640,3.052,1.221,0.732
-0.011,0.770,-0.639,3.235,1.404,0.793
-0.009,0.769,-0.638,2.869,1.465,0.732
-0.009,0.769,-0.640,3.052,1.526,0.793
-0.011,0.768,-0.638,2.930,1.343,0.854
-0.011,0.768,-0.641,2.563,1.343,1.099
-0.010,0.767,-0.639,2.869,1.587,0.977
-0.012,0.768,-0.640,2.930,1.404,0.916
-0.011,0.767,-0.640,2.869,1.343,0.977
-0.010,0.766,-0.639,2.625,1.282,0.732
-0.010,0.766,-0.640,2.991,1.404,0.854
-0.010,0.767,-0.640,2.930,1.465,0.977
-0.011,0.766,-0.640,2.686,1.282,1.099
-0.011,0.766,-0.640,2.563,1.282,1.221
-0.012,0.766,-0.642,2.686,1.282,1.099
-0.010,0.767,-0.645,2.869,1.404,1.221
-0.012,0.765,-0.641,3.418,1.343,1.221
-0.012,0.765,-0.640,2.930,1.038,1.160
-0.011,0.764,-0.644,2.258,1.282,1.587
-0.009,0.764,-0.642,2.991,1.282,1.465
-0.011,0.764,-0.641,2.686,1.282,1.587
-0.014,0.767,-0.645,3.357,1.038,1.282
-0.013,0.766,-0.642,3.235,1.404,1.221
-0.011,0.763,-0.642,2.808,1.404,1.160
-0.012,0.765,-0.643,3.113,1.526,1.160
-0.012,0.765,-0.643,2.808,1.465,1.099
-0.013,0.763,-0.643,3.296,1.465,1.099
-0.012,0.767,-0.646,3.052,1.465,1.099
-0.013,0.762,-0.641,2.869,1.709,1.160
-0.012,0.765,-0.646,2.136,0.977,1.038
-0.013,0.762,-0.642,3.235,1.465,1.160
-0.014,0.764,-0.647,3.723,1.221,0.854
-0.012,0.763,-0.638,4.944,1.526,0.671
-0.012,0.768,-0.639,3.235,1.343,0.854
-0.013,0.765,-0.640,3.723,1.343,0.732
-0.012,0.767,-0.641,2.991,1.587,0.916
-0.010,0.762,-0.642,1.587,1.343,0.977
-0.010,0.758,-0.643,0.549,2.258,2.075
-0.027,0.771,-0.653,-5.310,0.854,2.808
-0.010,0.737,-0.650,-3.784,0.000,4.333
-0.020,0.752,-0.662,-7.874,-0.671,4.272
-0.022,0.744,-0.679,-13.550,1.099,3.723
-0.023,0.723,-0.703,-16.968,1.587,2.686
-0.022,0.704,-0.706,-5.310,0.977,2.502
-0.030,0.740,-0.707,-5.737,-0.244,2.380
0.011,0.364,-0.755,32.654,2.319,-4.211
0.006,0.514,-0.727,19.470,5.432,0.305
-0.010,0.725,-0.728,-2.197,1.587,3.357
-0.000,0.695,-0.676,125.793,7.568,-8.423
-0.034,0.731,-0.696,43.884,6.897,-2.319
-0.029,0.825,-0.646,35.889,-0.122,-0.732
-0.040,0.812,-0.551,33.264,0.366,-0.549
0.003,0.786,-0.531,26.306,0.488,-2.747
-0.030,0.808,-0.469,22.949,-3.906,-1.404
-0.023,0.879,-0.487,12.085,5.066,1.770
-0.016,0.879,-0.448,12.939,1.282,1.221
0.011,0.842,-0.431,12.634,0.549,-0.732
0.002,0.869,-0.453,9.644,-0.061,-0.305
-0.007,0.868,-0.479,8.606,2.197,1.404
-0.015,0.871,-0.499,8.606,2.625,1.038
-0.009,0.873,-0.465,7.080,2.563,1.953
-0.012,0.887,-0.451,6.104,2.075,2.014
-0.017,0.892,-0.436,5.188,2.869,2.441
-0.008,0.883,-0.422,6.104,3.174,1.953
-0.009,0.884,-0.427,4.456,1.648,1.465
-0.017,0.888,-0.439,4.089,2.319,1.526
-0.017,0.887,-0.447,2.808,1.404,1.465
-0.016,0.894,-0.452,2.319,1.770,1.404
-0.016,0.889,-0.441,2.502,1.282,1.099
-0.019,0.893,-0.445,2.747,1.526,1.221
-0.019,0.889,-0.440,3.113,1.160,0.977
-0.015,0.888,-0.439,2.808,1.587,1.099
-0.018,0.888,-0.440,2.625,1.465,0.977
-0.017,0.890,-0.445,2.686,1.038,0.854
-0.018,0.889,-0.445,2.625,1.343,0.854
-0.018,0.891,-0.446,3.052,1.160,0.854
-0.015,0.889,-0.443,3.052,1.038,0.977
-0.016,0.889,-0.444,3.052,1.526,1.099
-0.016,0.889,-0.441,3.296,1.404,1.099
-0.017,0.888,-0.443,3.235,1.953,1.404
-0.016,0.888,-0.440,3.357,1.709,1.282
-0.016,0.890,-0.443,3.723,1.892,1.221
-0.020,0.891,-0.441,3.662,2.014,0.977
-0.021,0.888,-0.443,3.418,1.709,1.404
-0.019,0.890,-0.441,3.418,1.709,1.404
-0.018,0.890,-0.440,3.479,1.404,0.977
-0.018,0.890,-0.441,3.235,1.343,1.038
-0.017,0.890,-0.437,3.479,1.648,1.160
-0.018,0.890,-0.437,3.479,1.343,0.916
-0.020,0.889,-0.437,3.784,1.587,1.160
-0.019,0.889,-0.436,3.113,1.587,1.282
-0.020,0.894,-0.440,3.113,1.404,1.221
-0.019,0.890,-0.438,3.479,1.404,0.977
-0.019,0.891,-0.437,3.357,1.587,1.099
-0.019,0.893,-0.439,3.357,1.526,1.038
-0.020,0.890,-0.437,3.662,1.526,0.977
-0.020,0.891,-0.435,3.235,1.587,0.916
-0.020,0.891,-0.435,3.296,1.465,1.099
-0.018,0.891,-0.435,3.235,1.526,1.038
-0.019,0.891,-0.436,3.357,1.404,1.099
-0.021,0.891,-0.434,3.174,1.465,1.160
-0.021,0.892,-0.435,3.052,1.587,1.160
-0.021,0.891,-0.434,3.052,1.587,1.099
-0.021,0.892,-0.434,2.747,1.587,1.099
-0.021,0.891,-0.435,2.808,1.404,0.916
-0.021,0.891,-0.435,2.808,1.465,1.038
-0.023,0.892,-0.437,2.930,1.465,1.099
