ax,ay,az,gx,gy,gz
-0.076,0.940,0.059,5.066,1.831,14.954
-0.038,1.078,0.111,-9.094,9.399,10.559
0.028,0.881,0.114,-5.554,1.648,6.104
0.049,0.913,0.000,-16.052,-2.747,3.967
0.047,1.004,-0.035,-26.855,-11.230,7.935
0.035,1.052,-0.016,-20.996,-22.949,-5.859
-0.045,1.025,-0.051,7.080,-4.944,-2.563
-0.045,0.893,-0.073,3.540,-6.836,1.465
0.015,0.957,-0.083,-10.010,-8.362,4.272
0.035,1.004,-0.115,-2.869,-10.254,2.258
0.051,0.995,-0.142,-0.854,-18.127,0.000
0.031,0.991,-0.150,5.737,-22.766,-0.427
0.070,0.935,-0.192,10.254,-24.841,4.150
0.035,0.902,-0.175,0.916,-26.672,4.395
-0.004,0.915,-0.208,3.723,-16.479,9.399
0.032,0.929,-0.240,-3.052,-13.550,6.042
-0.135,1.127,0.076,28.870,-7.935,-40.039
0.193,0.850,-0.028,24.597,-3.967,-7.385
0.079,1.126,0.104,-6.592,-49.927,-17.578
-0.214,1.034,-0.106,19.409,-22.400,5.615
-0.183,0.812,-0.098,17.822,-31.067,-0.488
-0.071,1.066,0.007,-15.808,-8.606,12.207
0.046,1.037,-0.042,8.301,-16.357,14.954
0.002,0.971,-0.074,12.756,-31.006,8.423
-0.083,1.025,-0.068,16.296,-24.231,2.197
-0.085,0.938,-0.079,20.447,-15.442,3.479
-0.043,0.940,-0.064,10.986,-20.020,0.244
-0.004,0.984,-0.071,16.846,-18.372,-4.883
-0.003,0.959,-0.059,15.747,-18.982,-7.263
0.002,0.980,-0.062,15.686,-20.264,-6.836
0.009,0.921,-0.107,25.452,-1.404,-9.888
-0.010,0.941,0.068,10.559,3.906,-2.197
-0.031,1.150,0.129,10.925,-26.733,31.311
-0.160,0.782,0.204,0.183,-24.048,5.798
-0.106,1.012,0.044,-26.428,-12.512,2.625
0.095,0.902,0.029,-29.236,-37.170,11.353
0.051,1.113,-0.019,-38.330,-39.246,13.672
-0.046,1.090,0.031,-2.197,-36.438,1.831
0.015,0.936,-0.010,13.367,-37.109,1.465
0.071,0.939,-0.073,-1.770,-45.044,-3.662
0.021,1.005,-0.029,-10.864,-54.077,-3.723
-0.140,0.964,-0.093,-1.099,-47.974,-4.150
-0.073,0.939,-0.114,-0.977,-42.664,-4.395
-0.017,0.991,-0.162,-3.601,-33.569,0.854
0.024,0.944,-0.178,5.493,-33.203,3.906
-0.032,0.924,-0.174,2.441,-29.053,6.042
-0.047,0.903,-0.170,4.822,-19.653,7.629
-0.128,1.222,-0.012,-25.879,-8.789,-13.245
0.036,0.861,0.020,37.048,-3.479,-25.391
0.090,1.170,-0.044,-11.292,-12.390,-18.494
0.039,1.032,0.137,16.235,-10.254,-7.019
-0.141,0.858,-0.015,26.123,-17.822,-3.052
-0.162,0.867,-0.083,-9.888,-23.010,-13.672
0.039,1.207,-0.045,-4.028,-2.563,11.902
0.143,0.926,-0.019,17.822,-12.268,16.724
0.021,0.933,-0.062,14.343,-32.959,4.150
-0.062,0.970,-0.104,21.973,-17.578,-3.052
0.014,0.940,-0.096,14.343,-18.921,-2.502
0.073,0.973,-0.042,11.169,-23.010,-2.014
0.018,0.945,-0.051,21.423,-14.099,-3.174
-0.067,0.872,-0.073,18.555,-8.240,-4.822
0.102,1.090,0.161,-29.175,-10.742,30.762
-0.137,1.042,0.007,14.832,-24.780,26.794
-0.099,0.975,0.124,-22.522,-9.033,11.414
-0.041,0.933,0.071,-11.963,-7.507,11.292
0.133,0.862,0.015,-38.635,-33.569,13.428
0.029,1.223,-0.060,-48.523,-42.786,3.784
-0.054,1.057,0.031,2.808,-34.912,1.587
-0.047,0.976,-0.066,19.470,-30.090,-2.380
0.031,0.937,-0.128,4.150,-36.926,-0.183
-0.002,0.980,-0.075,-2.319,-35.645,3.784
-0.045,0.954,-0.135,7.751,-36.438,2.502
0.003,0.958,-0.164,3.906,-38.391,5.432
0.020,0.938,-0.145,-0.183,-34.790,5.371
0.036,0.927,-0.174,3.235,-33.020,8.362
-0.041,0.931,-0.216,2.625,-30.579,10.864
-0.278,1.166,0.037,10.986,-10.132,-27.649
0.007,0.819,-0.073,23.193,4.700,2.869
0.052,0.915,-0.079,-10.254,-19.409,-14.343
0.137,1.079,0.136,0.671,-16.968,-22.217
-0.126,1.104,-0.132,33.569,-30.151,0.061
-0.138,0.859,-0.113,-0.916,-27.649,7.812
-0.091,1.015,-0.038,0.610,-11.047,0.549
-0.039,1.018,-0.049,7.812,-11.780,9.521
-0.028,0.977,-0.103,10.742,-16.785,11.047
-0.034,0.998,-0.068,7.935,-21.240,8.545
-0.033,0.971,-0.085,18.921,-15.625,2.075
-0.015,0.971,-0.101,14.282,-18.555,-3.723
-0.014,0.980,-0.081,19.836,-13.733,-6.714
0.026,0.934,-0.091,26.062,-7.690,-13.367
-0.078,0.862,-0.071,26.611,2.686,-17.822
0.089,1.240,0.169,-17.944,-2.380,24.780
-0.049,0.837,0.103,13.672,-16.724,19.897
-0.016,1.095,0.101,-20.264,-18.311,-3.967
0.066,0.963,0.057,11.780,-14.526,-7.568
-0.004,0.882,0.078,-11.108,-24.719,-1.099
0.017,0.971,0.025,-21.057,-27.954,8.606
0.107,1.038,0.053,-26.733,-40.161,-0.183
0.087,1.094,0.018,1.953,-36.072,-0.854
0.091,0.954,-0.014,17.090,-41.260,-3.296
0.084,0.908,0.001,6.287,-48.279,-4.211
0.022,0.924,-0.043,-0.549,-47.119,-5.554
0.051,0.974,-0.050,-3.601,-46.143,-0.305
0.108,0.985,-0.064,-5.371,-47.668,9.399
0.118,0.918,-0.111,-4.517,-55.603,11.475
0.065,0.925,-0.103,-6.287,-59.204,11.414
-0.004,0.999,-0.057,-11.536,-56.396,8.728
-0.089,1.178,0.017,-9.216,-47.302,-5.859
-0.003,0.897,0.070,31.677,-33.875,-3.662
0.059,0.901,-0.088,2.869,-52.673,3.052
0.021,1.031,-0.005,-12.634,-73.486,-2.502
-0.076,1.119,-0.091,14.954,-64.758,7.202
-0.118,0.889,-0.115,19.714,-72.937,10.925
-0.129,0.924,-0.075,-6.287,-68.054,7.996
-0.150,1.005,-0.069,1.526,-62.683,10.315
-0.100,0.991,-0.112,3.967,-50.842,5.676
-0.093,0.990,-0.078,1.892,-45.715,2.563
-0.104,1.005,-0.068,9.705,-45.532,1.404
-0.114,0.950,-0.057,9.583,-39.124,-0.183
-0.105,0.955,-0.048,6.897,-38.818,-2.930
-0.097,0.974,-0.052,2.747,-41.016,-5.310
-0.142,0.995,-0.043,4.822,-36.255,-6.531
